agentPrivateVariables,agentDomainSize,ts,ia,nia,pi,pd,pn,ia_pi,ia_pd,ia_pn,nia_pi,nia_pd,nia_pn,pi_pn,pd_pn,ia_pi_pn,ia_pd_pn,nia_pi_pn,nia_pd_pn
1,2,3.9068905956,3.5849625007,1.5849625007,3.1699250014,3.9068905956,3.1699250014,3.1699250014,3.5849625007,3,0,1.5849625007,0,2.8073549221,3.1699250014,2.8073549221,3,0,0
1,3,8.9971794809,8.8073549221,5.9772799235,8.4220647662,8.9971794809,8.4220647662,8.4220647662,8.8073549221,8.3037807482,0,5.9772799235,4.7548875022,8.0498485495,8.4220647662,8.0498485495,8.3037807482,0,4.7548875022
1,4,15.9999779861,15.9068905956,11.9996477365,15.6275623824,15.9999779861,15.6275623824,15.6275623824,15.9068905956,15.5574637016,0,11.9996477365,11.2294196882,15.3409280034,15.6275623824,15.3409280034,15.5574637016,0,11.2294196882
1,5,24.999999957,24.9541963104,19.9999986241,24.7709815519,24.999999957,24.7709815519,24.7709815519,24.9541963104,24.7321980712,0,19.9999986241,19.534452978,24.5753047796,24.7709815519,24.5753047796,24.7321980712,0,19.534452978
2,2,7.8137811912,7.1699250014,5.1699250014,6.3398500029,7.8137811912,6.3398500029,6.3398500029,7.1699250014,6,4.7548875022,5.1699250014,3,5.6147098441,6.3398500029,5.6147098441,6,2.8073549221,3
3,2,11.7206717868,10.7548875022,8.7548875022,9.5097750043,11.7206717868,9.5097750043,9.5097750043,10.7548875022,9,7.9248125036,8.7548875022,6,8.4220647662,9.5097750043,8.4220647662,9,5.6147098441,6
1,6,36,35.9772799235,29.9999999987,35.863679541,36,35.863679541,35.863679541,35.9772799235,35.8430541525,0,29.9999999987,29.7251778623,35.7395019591,35.863679541,35.7395019591,35.8430541525,0,29.7251778623
5,2,19.534452978,17.9248125036,15.9248125036,15.8496250072,19.534452978,15.8496250072,15.8496250072,17.9248125036,15,14.2646625065,15.9248125036,12,14.0367746103,15.8496250072,14.0367746103,15,11.2294196882,12
1,7,49,48.9886846868,42,48.9207928074,49,48.9207928074,48.9207928074,48.9886846868,48.9100888976,0,42,41.8409594645,48.8457737284,48.9207928074,48.8457737284,48.9100888976,0,41.8409594645
4,2,15.6275623824,14.3398500029,12.3398500029,12.6797000058,15.6275623824,12.6797000058,12.6797000058,14.3398500029,12,11.094737505,12.3398500029,9,11.2294196882,12.6797000058,11.2294196882,12,8.4220647662,9
2,3,17.9943589619,17.6147098441,14.7846348456,16.8441295323,17.9943589619,16.8441295323,16.8441295323,17.6147098441,16.6075614964,14.0367746103,14.7846348456,13.0586682503,16.0996970989,16.8441295323,16.0996970989,16.6075614964,12.6937047392,13.0586682503
2,4,31.9999559721,31.8137811912,27.9065383321,31.2551247649,31.9999559721,31.2551247649,31.2551247649,31.8137811912,31.1149274032,27.3482341693,27.9065383321,26.7868833898,30.6818560069,31.2551247649,30.6818560069,31.1149274032,26.4184113603,26.7868833898
3,3,26.9915384428,26.4220647662,23.5919897676,25.2661942985,26.9915384428,25.2661942985,25.2661942985,26.4220647662,24.9113422445,22.4588393765,23.5919897676,21.3624489985,24.1495456484,25.2661942985,24.1495456484,24.9113422445,20.7435532887,21.3624489985
